T1_FARM_CARROT_SEED,Nasiona Marchwi
T6_FARM_DIREWOLF_BABY,Szczenię Wilka Strasznego
T7_FARM_DIREBOAR_BABY,Prosię Dzika Strasznego
T8_FARM_DIREBEAR_BABY,Młody Niedźwiedź Straszny
T7_FARM_SWAMPDRAGON_BABY,Mały Smok Bagienny
T8_FARM_MAMMOTH_BABY,Mamuciątko
T5_FARM_COUGAR_BABY,Młody Bystropazur
T8_FARM_DIREWOLF_BABY,Szczenię Widmowego Wilka
T4_FARM_GIANTSTAG_BABY,Jelonek Adepta
T6_FARM_GIANTSTAG_BABY,Jelonek Mistrza
T6_FARM_GIANTSTAG_MOOSE_BABY,Cielę Łosia
T8_FARM_RABBIT_EASTER_BABY,Barwne Jajko Królika Wiosennego
T8_FARM_RABBIT_EASTER_GROWN,Oswojony Królik Wiosenny
T5_FARM_MOABIRD_FW_BRIDGEWATCH_BABY,Pisklę Moa
T5_FARM_DIREBEAR_FW_FORTSTERLING_BABY,Młody Zimowy Niedźwiedź
T5_FARM_DIREBOAR_FW_LYMHURST_BABY,Warchlak Dzika
T5_FARM_RAM_FW_MARTLOCK_BABY,Młody Muflon Gruborogi
T5_FARM_SWAMPDRAGON_FW_THETFORD_BABY,Młoda Salamandra Bagienna
T5_FARM_GREYWOLF_FW_CAERLEON_BABY,Szczenię Szarego Wilka Caerleon
T8_FARM_MOABIRD_FW_BRIDGEWATCH_BABY,Pisklę Elitarnego Ptaka Terroru
T8_FARM_DIREBEAR_FW_FORTSTERLING_BABY,Młode Elitarnego Zimowego Niedźwiedzia
T8_FARM_DIREBOAR_FW_LYMHURST_BABY,Dziki Elitarny Knur
T8_FARM_RAM_FW_MARTLOCK_BABY,Elitarna Owieczka Barana Wielkorogiego
T8_FARM_SWAMPDRAGON_FW_THETFORD_BABY,Młode Elitarnej Salamandry Bagiennej
T8_FARM_GREYWOLF_FW_CAERLEON_BABY,Szczenię Elitarnego Szarego Wilka
T6_FARM_DIREWOLF_GROWN,Oswojony Wilk Straszny
T7_FARM_DIREBOAR_GROWN,Oswojony Dzik Straszny
T8_FARM_DIREBEAR_GROWN,Oswojony Niedźwiedź Straszny
T7_FARM_SWAMPDRAGON_GROWN,Oswojony Smok Bagienny
T8_FARM_MAMMOTH_GROWN,Oswojony Mamut
T5_FARM_COUGAR_GROWN,Oswojony Bystropazur
T8_FARM_DIREWOLF_GROWN,Oswojony Widmowy WIlk
T4_FARM_GIANTSTAG_GROWN,Oswojony Jelonek Olbrzymi Adepta
T6_FARM_GIANTSTAG_GROWN,Oswojony Jelonek Olbrzymi Mistrza
T6_FARM_GIANTSTAG_MOOSE_GROWN,Oswojony Łoś
T5_FARM_MOABIRD_FW_BRIDGEWATCH_GROWN,Oswojony Moa
T5_FARM_DIREBEAR_FW_FORTSTERLING_GROWN,Oswojony Zimowy Niedźwiedź
T5_FARM_DIREBOAR_FW_LYMHURST_GROWN,Oswojony Dzik
T5_FARM_RAM_FW_MARTLOCK_GROWN,Oswojony Muflon Gruborogi
T5_FARM_SWAMPDRAGON_FW_THETFORD_GROWN,Oswojona Salamandra Bagienna
T5_FARM_GREYWOLF_FW_CAERLEON_GROWN,Oswojony Szary Wilk
T8_FARM_MOABIRD_FW_BRIDGEWATCH_GROWN,Oswojony Elitarny Ptak Terroru
T8_FARM_DIREBEAR_FW_FORTSTERLING_GROWN,Oswojony Elitarny Zimowy Niedźwiedź
T8_FARM_DIREBOAR_FW_LYMHURST_GROWN,Oswojony Elitarny Dzik
T8_FARM_RAM_FW_MARTLOCK_GROWN,Oswojony Elitarny Baran Wielkorogi
T8_FARM_SWAMPDRAGON_FW_THETFORD_GROWN,Oswojona Elitarna Salamandra Bagienna
T8_FARM_GREYWOLF_FW_CAERLEON_GROWN,Oswojony Elitarny Szary Wilk
T3_FARM_CHICKEN_BABY,Kurczaki
T4_FARM_GOAT_BABY,Koźlę
T5_FARM_GOOSE_BABY,Gąska
T6_FARM_SHEEP_BABY,Jagnię
T7_FARM_PIG_BABY,Prosię
T8_FARM_COW_BABY,Cielę
T3_FARM_CHICKEN_GROWN,Kura
T4_FARM_GOAT_GROWN,Koza
T5_FARM_GOOSE_GROWN,Gęś
T6_FARM_SHEEP_GROWN,Owca
T7_FARM_PIG_GROWN,Świnia
T8_FARM_COW_GROWN,Krowa
T6_MOUNTUPGRADE_GIANTSTAG_XMAS,Ozdobna Uzda dla Jelenia
T5_MOUNTUPGRADE_HORSE_CURSE,Nekromantyczny Eliksir
T8_MOUNTUPGRADE_HORSE_CURSE,Upiorna Maska
T8_MOUNTUPGRADE_COUGAR_KEEPER,Święty Szpik Kostny
T5_MOUNTUPGRADE_HORSE_MORGANA,Siodło Klaczy Morgany
T8_MOUNTUPGRADE_HORSE_MORGANA,Podkowy Piekielnego Konia Bitewnego
T1_CARROT,Marchewki
T2_BEAN,Fasola
T3_WHEAT,Snop Pszenicy
T4_TURNIP,Rzepy
T5_CABBAGE,Kapusta
T6_POTATO,Ziemniaki
T7_CORN,Pęczek Kukurydzy
T8_PUMPKIN,Dynia
T2_AGARIC,Magiczny Muchomor
T3_COMFREY,Żywokost Jasnolistny
T4_BURDOCK,Łopian Większy
T5_TEASEL,Szczeć Smocza
T6_FOXGLOVE,Naparstnica Drobna
T7_MULLEIN,Dziewanna Rdzawa
T8_YARROW,Krwawnik Cmentarny
T3_EGG,Kurze Jaja
T4_MILK,Kozie Mleko
T5_EGG,Gęsie Jaja
T6_MILK,Owcze Mleko
T8_MILK,Krowie mleko
T1_FISH_FRESHWATER_ALL_COMMON,Krasnopiórka Pospolita
T2_FISH_FRESHWATER_ALL_COMMON,Karp Prążkowany
T3_FISH_FRESHWATER_ALL_COMMON,Pospolity Okoń
T4_FISH_FRESHWATER_ALL_COMMON,Szczupak Niebieskołuski
T5_FISH_FRESHWATER_ALL_COMMON,Pstrąg Plamisty
T6_FISH_FRESHWATER_ALL_COMMON,Sandacz Jasnołuski
T7_FISH_FRESHWATER_ALL_COMMON,Sum Niskousty
T8_FISH_FRESHWATER_ALL_COMMON,Jesiotr Rzeczny
T1_FISH_SALTWATER_ALL_COMMON,Śledź Pospolity
T2_FISH_SALTWATER_ALL_COMMON,Makrela Prążkowana
T3_FISH_SALTWATER_ALL_COMMON,Flądra Płytkobrzeżna
T4_FISH_SALTWATER_ALL_COMMON,Dorsz Niebieskołuski
T5_FISH_SALTWATER_ALL_COMMON,Zębacz Plamisty
T6_FISH_SALTWATER_ALL_COMMON,Łosoś Silnopłetwy
T7_FISH_SALTWATER_ALL_COMMON,Tuńczyk Niebieskopłetwy
T8_FISH_SALTWATER_ALL_COMMON,Włócznik Twardołuski
T3_FISH_FRESHWATER_FOREST_RARE,Węgorz Rzeczny
T5_FISH_FRESHWATER_FOREST_RARE,Węgorz Strumykowy
T7_FISH_FRESHWATER_FOREST_RARE,Węgorz Potokowy
T3_FISH_FRESHWATER_MOUNTAIN_RARE,Zimnook Wyżynny
T5_FISH_FRESHWATER_MOUNTAIN_RARE,Pustook Górski
T7_FISH_FRESHWATER_MOUNTAIN_RARE,Martwook Szczytowy
T3_FISH_FRESHWATER_HIGHLANDS_RARE,Salamandra Strumykowa
T5_FISH_FRESHWATER_HIGHLANDS_RARE,Salamandra Bystra
T7_FISH_FRESHWATER_HIGHLANDS_RARE,Salamandra Burzowa
T3_FISH_FRESHWATER_STEPPE_RARE,Krab Rzeczny
T5_FISH_FRESHWATER_STEPPE_RARE,Krab Potokowy
T7_FISH_FRESHWATER_STEPPE_RARE,Krab Piaskowy
T3_FISH_FRESHWATER_SWAMP_RARE,Małż Piaskołaz
T5_FISH_FRESHWATER_SWAMP_RARE,Małż Mętnowodny
T7_FISH_FRESHWATER_SWAMP_RARE,Małż Bagienny
T3_FISH_SALTWATER_ALL_RARE,Kałamarnica Płyciznowa
T5_FISH_SALTWATER_ALL_RARE,Ośmiornica Śródoceaniczna
T7_FISH_SALTWATER_ALL_RARE,Kraken Głębinowy
T3_FISH_FRESHWATER_AVALON_RARE,Lucjan Białomglisty
T5_FISH_FRESHWATER_AVALON_RARE,Lucjan Jasnomglisty
T7_FISH_FRESHWATER_AVALON_RARE,Lucjan Czystomglisty
T1_SEAWEED,Wodorosty
T8_FISH_SALTWATER_ALL_BOSS_SHARK,Rekin
T1_FISHCHOPS,Siekana Ryba
T1_FISHSAUCE_LEVEL1,Podstawowy Sos Rybny
T1_FISHSAUCE_LEVEL2,Ekstrawagancki Sos Rybny
T1_FISHSAUCE_LEVEL3,Specjalny Sos Rybny
TREASURE_KNOWLEDGE_RARITY1,Przeklęty Zwój
TREASURE_KNOWLEDGE_RARITY2,Cienka Broszura
TREASURE_KNOWLEDGE_RARITY3,Starożytne Tomisko
TREASURE_SILVERWARE_RARITY1,Srebrny Kubek
TREASURE_SILVERWARE_RARITY2,Srebrne Lustro
TREASURE_SILVERWARE_RARITY3,Srebrny Żyrandol
TREASURE_DECORATIVE_RARITY1,Prosta Kamienna Zabawka
TREASURE_DECORATIVE_RARITY2,Kamienna Maska
TREASURE_DECORATIVE_RARITY3,Kamienny Bożek
TREASURE_CEREMONIAL_RARITY1,Jabłko Królewskie
TREASURE_CEREMONIAL_RARITY2,Zdobione Berło
TREASURE_CEREMONIAL_RARITY3,Złota Korona
TREASURE_TRIBAL_RARITY1,Talizman z Piór
TREASURE_TRIBAL_RARITY2,Łapacz Snów
TREASURE_TRIBAL_RARITY3,Święty Fetysz
TREASURE_RITUAL_RARITY1,Rytualne Świece
TREASURE_RITUAL_RARITY2,Krwawy Kielich
TREASURE_RITUAL_RARITY3,Sztylet Ofiarny
TREASURE_AVALON_RARITY1,Złota Ramka
TREASURE_AVALON_RARITY2,Złoty Żyroskop
TREASURE_AVALON_RARITY3,Złoty Sekstans
T4_SKILLBOOK_GATHER_FIBER,Tomisko Zbieracza Włókna Adepta
T5_SKILLBOOK_GATHER_FIBER,Tomisko Zbieracza Włókna Znawcy
T6_SKILLBOOK_GATHER_FIBER,Tomisko Zbieracza Włókna Mistrza
T7_SKILLBOOK_GATHER_FIBER,Tomisko Zbieracza Włókna Wszechmistrza
T8_SKILLBOOK_GATHER_FIBER,Tomisko Zbieracza Włókna Starszego
T4_SKILLBOOK_GATHER_HIDE,Tomisko Oprawiającego Zwierzęta Adepta
T5_SKILLBOOK_GATHER_HIDE,Tomisko Oprawiającego Zwierzęta Znawcy
T6_SKILLBOOK_GATHER_HIDE,Tomisko Oprawiającego Zwierzęta Mistrza
T7_SKILLBOOK_GATHER_HIDE,Tomisko Oprawiającego Zwierzęta Wszechmistrza
T8_SKILLBOOK_GATHER_HIDE,Tomisko Oprawiającego Zwierzęta Starszego
T4_SKILLBOOK_GATHER_ORE,Tomisko Górnika Rudy Adepta
T5_SKILLBOOK_GATHER_ORE,Tomisko Górnika Rudy Znawcy
T6_SKILLBOOK_GATHER_ORE,Tomisko Górnika Rudy Mistrza
T7_SKILLBOOK_GATHER_ORE,Tomisko Górnika Rudy Wszechmistrza
T8_SKILLBOOK_GATHER_ORE,Tomisko Górnika Rudy Starszego
T4_SKILLBOOK_GATHER_ROCK,Tomisko Pracownika Kamieniołomu Adepta
T5_SKILLBOOK_GATHER_ROCK,Tomisko Pracownika Kamieniołomu Znawcy
T6_SKILLBOOK_GATHER_ROCK,Tomisko Pracownika Kamieniołomu Mistrza
T7_SKILLBOOK_GATHER_ROCK,Tomisko Pracownika Kamieniołomu Wszechmistrza
T8_SKILLBOOK_GATHER_ROCK,Tomisko Pracownika Kamieniołomu Starszego
T4_SKILLBOOK_GATHER_WOOD,Tomisko Drwala Adepta
T5_SKILLBOOK_GATHER_WOOD,Tomisko Drwala Znawcy
T6_SKILLBOOK_GATHER_WOOD,Tomisko Drwala Mistrza
T7_SKILLBOOK_GATHER_WOOD,Tomisko Drwala Wszechmistrza
T8_SKILLBOOK_GATHER_WOOD,Tomisko Drwala Starszego
T4_SKILLBOOK_STANDARD,Tomisko Zrozumienia Adepta
T1_SKILLBOOK_NONTRADABLE,Tomisko Zrozumienia Początkującego
T2_SKILLBOOK_NONTRADABLE,Tomisko Zrozumienia Nowicjusza
T3_SKILLBOOK_NONTRADABLE,Tomisko Zrozumienia Czeladnika
T4_SKILLBOOK_NONTRADABLE,Tomisko Zrozumienia Adepta
T5_SKILLBOOK_NONTRADABLE,Tomisko Zrozumienia Znawcy
T6_SKILLBOOK_NONTRADABLE,Tomisko Zrozumienia Mistrza
T7_SKILLBOOK_NONTRADABLE,Tomisko Zrozumienia Wszechmistrza
T8_SKILLBOOK_NONTRADABLE,Tomisko Zrozumienia Starszego
T3_PREMIUMITEM_3_NONTRADABLE,Trzy Dni Premium
T1_SILVERBAG_NONTRADABLE,Worek Srebra Początkującego
T2_SILVERBAG_NONTRADABLE,Worek Srebra Nowicjusza
T3_SILVERBAG_NONTRADABLE,Worek Srebra Czeladnika
T4_SILVERBAG_NONTRADABLE,Worek Srebra Adepta
T5_SILVERBAG_NONTRADABLE,Worek Srebra Znawcy
T6_SILVERBAG_NONTRADABLE,Worek Srebra Mistrza
T7_SILVERBAG_NONTRADABLE,Worek Srebra Wszechmistrza
T8_SILVERBAG_NONTRADABLE,Worek Srebra Starszego
T2_POTION_HEAL,Mniejsza Tynktura Lecząca
T4_POTION_HEAL,Mikstura Lecznicza
T4_POTION_HEAL@1,Mikstura Lecznicza
T6_POTION_HEAL,Większa Tynktura Lecząca
T6_POTION_HEAL@1,Większa Tynktura Lecząca
T2_POTION_ENERGY,Mniejsza Mikstura Energii
T4_POTION_ENERGY,Mikstura Energii
T4_POTION_ENERGY@1,Mikstura Energii
T6_POTION_ENERGY,Większa Mikstura Energii
T6_POTION_ENERGY@1,Większa Mikstura Energii
T3_POTION_REVIVE,Mniejsza Mikstura Powiększenia
T5_POTION_REVIVE,Mikstura Powiększenia
T5_POTION_REVIVE@1,Mikstura Powiększenia
T7_POTION_REVIVE,Większa Mikstura Powiększenia
T7_POTION_REVIVE@1,Większa Mikstura Powiększenia
T3_POTION_STONESKIN,Mniejsza Mikstura Odporności
T5_POTION_STONESKIN,Mikstura Odporności
T5_POTION_STONESKIN@1,Mikstura Odporności
T7_POTION_STONESKIN,Większa Mikstura Odporności
T7_POTION_STONESKIN@1,Większa Mikstura Odporności
T3_POTION_SLOWFIELD,Mniejsza Kleista Mikstura
T5_POTION_SLOWFIELD,Kleista Mikstura
T5_POTION_SLOWFIELD@1,Kleista Mikstura
T7_POTION_SLOWFIELD,Większa Kleista Mikstura
T7_POTION_SLOWFIELD@1,Większa Kleista Mikstura
T4_POTION_COOLDOWN,Mniejsza Trująca Mikstura
T4_POTION_COOLDOWN@1,Mniejsza Trująca Mikstura
T6_POTION_COOLDOWN,Trująca Mikstura
T6_POTION_COOLDOWN@1,Trująca Mikstura
T8_POTION_COOLDOWN,Większa Trująca Mikstura
T8_POTION_COOLDOWN@1,Większa Trująca Mikstura
T8_POTION_CLEANSE,Mikstura Niewidzialności
T8_POTION_CLEANSE@1,Mikstura Niewidzialności
T1_WORM,Dżdżownica
T1_FISHINGBAIT,Prosta Przynęta
T3_FISHINGBAIT,Wyszukana Przynęta
T5_FISHINGBAIT,Specjalna Przynęta
T1_MEAL_GRILLEDFISH,Grillowana Ryba
T1_MEAL_SEAWEEDSALAD,Sałatka z wodorostów
T1_MEAL_SOUP,Zupa Marchewkowa
T1_MEAL_SOUP@1,Zupa Marchewkowa
T1_MEAL_SOUP@2,Zupa Marchewkowa
T1_MEAL_SOUP@3,Zupa Marchewkowa
T3_MEAL_SOUP,Zupa Pszeniczna
T3_MEAL_SOUP@1,Zupa Pszeniczna
T3_MEAL_SOUP@2,Zupa Pszeniczna
T3_MEAL_SOUP@3,Zupa Pszeniczna
T5_MEAL_SOUP,Kapuśniak
T5_MEAL_SOUP@1,Kapuśniak
T5_MEAL_SOUP@2,Kapuśniak
T5_MEAL_SOUP@3,Kapuśniak
T1_MEAL_SOUP_FISH,Zupa z Małża Piaskołaza
T1_MEAL_SOUP_FISH@1,Zupa z Małża Piaskołaza
T1_MEAL_SOUP_FISH@2,Zupa z Małża Piaskołaza
T1_MEAL_SOUP_FISH@3,Zupa z Małża Piaskołaza
T3_MEAL_SOUP_FISH,Zupa z Małża Mętnowodnego
T3_MEAL_SOUP_FISH@1,Zupa z Małża Mętnowodnego
T3_MEAL_SOUP_FISH@2,Zupa z Małża Mętnowodnego
T3_MEAL_SOUP_FISH@3,Zupa z Małża Mętnowodnego
T5_MEAL_SOUP_FISH,Zupa z Małża Bagiennego
T5_MEAL_SOUP_FISH@1,Zupa z Małża Bagiennego
T5_MEAL_SOUP_FISH@2,Zupa z Małża Bagiennego
T5_MEAL_SOUP_FISH@3,Zupa z Małża Bagiennego
T2_MEAL_SALAD,Sałatka z Fasoli
T2_MEAL_SALAD@1,Sałatka z Fasoli
T2_MEAL_SALAD@2,Sałatka z Fasoli
T2_MEAL_SALAD@3,Sałatka z Fasoli
T4_MEAL_SALAD,Sałatka z Rzepy
T4_MEAL_SALAD@1,Sałatka z Rzepy
T4_MEAL_SALAD@2,Sałatka z Rzepy
T4_MEAL_SALAD@3,Sałatka z Rzepy
T6_MEAL_SALAD,Sałatka z Ziemniaków
T6_MEAL_SALAD@1,Sałatka z Ziemniaków
T6_MEAL_SALAD@2,Sałatka z Ziemniaków
T6_MEAL_SALAD@3,Sałatka z Ziemniaków
T2_MEAL_SALAD_FISH,Sałatka z Kałamarnicy Płyciznowej
T2_MEAL_SALAD_FISH@1,Sałatka z Kałamarnicy Płyciznowej
T2_MEAL_SALAD_FISH@2,Sałatka z Kałamarnicy Płyciznowej
T2_MEAL_SALAD_FISH@3,Sałatka z Kałamarnicy Płyciznowej
T4_MEAL_SALAD_FISH,Sałatka z Ośmiornicy Śródoceanicznej
T4_MEAL_SALAD_FISH@1,Sałatka z Ośmiornicy Śródoceanicznej
T4_MEAL_SALAD_FISH@2,Sałatka z Ośmiornicy Śródoceanicznej
T4_MEAL_SALAD_FISH@3,Sałatka z Ośmiornicy Śródoceanicznej
T6_MEAL_SALAD_FISH,Sałatka z Krakena Głębinowego
T6_MEAL_SALAD_FISH@1,Sałatka z Krakena Głębinowego
T6_MEAL_SALAD_FISH@2,Sałatka z Krakena Głębinowego
T6_MEAL_SALAD_FISH@3,Sałatka z Krakena Głębinowego
T3_MEAL_PIE,Pasztet Kurzy
T3_MEAL_PIE@1,Pasztet Kurzy
T3_MEAL_PIE@2,Pasztet Kurzy
T3_MEAL_PIE@3,Pasztet Kurzy
T5_MEAL_PIE,Pasztet Gęsi
T5_MEAL_PIE@1,Pasztet Gęsi
T5_MEAL_PIE@2,Pasztet Gęsi
T5_MEAL_PIE@3,Pasztet Gęsi
T7_MEAL_PIE,Pasztet Wieprzowy
T7_MEAL_PIE@1,Pasztet Wieprzowy
T7_MEAL_PIE@2,Pasztet Wieprzowy
T7_MEAL_PIE@3,Pasztet Wieprzowy
T3_MEAL_PIE_FISH,Pasztet z Zimnooka Wyżynnego
T3_MEAL_PIE_FISH@1,Pasztet z Zimnooka Wyżynnego
T3_MEAL_PIE_FISH@2,Pasztet z Zimnooka Wyżynnego
T3_MEAL_PIE_FISH@3,Pasztet z Zimnooka Wyżynnego
T5_MEAL_PIE_FISH,Pasztet z Pustooka Górskiego
T5_MEAL_PIE_FISH@1,Pasztet z Pustooka Górskiego
T5_MEAL_PIE_FISH@2,Pasztet z Pustooka Górskiego
T5_MEAL_PIE_FISH@3,Pasztet z Pustooka Górskiego
T7_MEAL_PIE_FISH,Pasztet z Martwooka Szczytowego
T7_MEAL_PIE_FISH@1,Pasztet z Martwooka Szczytowego
T7_MEAL_PIE_FISH@2,Pasztet z Martwooka Szczytowego
T7_MEAL_PIE_FISH@3,Pasztet z Martwooka Szczytowego
T3_MEAL_OMELETTE,Omlet Kurzy
T3_MEAL_OMELETTE@1,Omlet Kurzy
T3_MEAL_OMELETTE@2,Omlet Kurzy
T3_MEAL_OMELETTE@3,Omlet Kurzy
T5_MEAL_OMELETTE,Omlet Gęsi
T5_MEAL_OMELETTE@1,Omlet Gęsi
T5_MEAL_OMELETTE@2,Omlet Gęsi
T5_MEAL_OMELETTE@3,Omlet Gęsi
T7_MEAL_OMELETTE,Omlet Wieprzowy
T7_MEAL_OMELETTE@1,Omlet Wieprzowy
T7_MEAL_OMELETTE@2,Omlet Wieprzowy
T7_MEAL_OMELETTE@3,Omlet Wieprzowy
T3_MEAL_OMELETTE_FISH,Omlet z Kraba Rzecznego
T3_MEAL_OMELETTE_FISH@1,Omlet z Kraba Rzecznego
T3_MEAL_OMELETTE_FISH@2,Omlet z Kraba Rzecznego
T3_MEAL_OMELETTE_FISH@3,Omlet z Kraba Rzecznego
T5_MEAL_OMELETTE_FISH,Omlet z Kraba Potokowego
T5_MEAL_OMELETTE_FISH@1,Omlet z Kraba Potokowego
T5_MEAL_OMELETTE_FISH@2,Omlet z Kraba Potokowego
T5_MEAL_OMELETTE_FISH@3,Omlet z Kraba Potokowego
T7_MEAL_OMELETTE_FISH,Omlet z Kraba Piaskowy
T7_MEAL_OMELETTE_FISH@1,Omlet z Kraba Piaskowy
T7_MEAL_OMELETTE_FISH@2,Omlet z Kraba Piaskowy
T7_MEAL_OMELETTE_FISH@3,Omlet z Kraba Piaskowy
T3_MEAL_OMELETTE_AVALON,Awaloński Omlet Kurzy
T3_MEAL_OMELETTE_AVALON@1,Awaloński Omlet Kurzy
T3_MEAL_OMELETTE_AVALON@2,Awaloński Omlet Kurzy
T3_MEAL_OMELETTE_AVALON@3,Awaloński Omlet Kurzy
T5_MEAL_OMELETTE_AVALON,Awaloński Omlet Gęsi
T5_MEAL_OMELETTE_AVALON@1,Awaloński Omlet Gęsi
T5_MEAL_OMELETTE_AVALON@2,Awaloński Omlet Gęsi
T5_MEAL_OMELETTE_AVALON@3,Awaloński Omlet Gęsi
T7_MEAL_OMELETTE_AVALON,Awaloński Omlet Wieprzowy
T7_MEAL_OMELETTE_AVALON@1,Awaloński Omlet Wieprzowy
T7_MEAL_OMELETTE_AVALON@2,Awaloński Omlet Wieprzowy
T7_MEAL_OMELETTE_AVALON@3,Awaloński Omlet Wieprzowy
T4_MEAL_STEW,Gulasz z Koziny
T4_MEAL_STEW@1,Gulasz z Koziny
T4_MEAL_STEW@2,Gulasz z Koziny
T4_MEAL_STEW@3,Gulasz z Koziny
T6_MEAL_STEW,Gulasz z Baraniny
T6_MEAL_STEW@1,Gulasz z Baraniny
T6_MEAL_STEW@2,Gulasz z Baraniny
T6_MEAL_STEW@3,Gulasz z Baraniny
T8_MEAL_STEW,Gulasz z Wołowiny
T8_MEAL_STEW@1,Gulasz z Wołowiny
T8_MEAL_STEW@2,Gulasz z Wołowiny
T8_MEAL_STEW@3,Gulasz z Wołowiny
T4_MEAL_STEW_FISH,Gulasz z Węgorza Rzecznego
T4_MEAL_STEW_FISH@1,Gulasz z Węgorza Rzecznego
T4_MEAL_STEW_FISH@2,Gulasz z Węgorza Rzecznego
T4_MEAL_STEW_FISH@3,Gulasz z Węgorza Rzecznego
T6_MEAL_STEW_FISH,Gulasz z Węgorza Strumykowego
T6_MEAL_STEW_FISH@1,Gulasz z Węgorza Strumykowego
T6_MEAL_STEW_FISH@2,Gulasz z Węgorza Strumykowego
T6_MEAL_STEW_FISH@3,Gulasz z Węgorza Strumykowego
T8_MEAL_STEW_FISH,Gulasz z Węgorza Potokowego
T8_MEAL_STEW_FISH@1,Gulasz z Węgorza Potokowego
T8_MEAL_STEW_FISH@2,Gulasz z Węgorza Potokowego
T8_MEAL_STEW_FISH@3,Gulasz z Węgorza Potokowego
T4_MEAL_STEW_AVALON,Awaloński Gulasz z Koziny
T4_MEAL_STEW_AVALON@1,Awaloński Gulasz z Koziny
T4_MEAL_STEW_AVALON@2,Awaloński Gulasz z Koziny
T4_MEAL_STEW_AVALON@3,Awaloński Gulasz z Koziny
T6_MEAL_STEW_AVALON,Awaloński Gulasz z Baraniny
T6_MEAL_STEW_AVALON@1,Awaloński Gulasz z Baraniny
T6_MEAL_STEW_AVALON@2,Awaloński Gulasz z Baraniny
T6_MEAL_STEW_AVALON@3,Awaloński Gulasz z Baraniny
T8_MEAL_STEW_AVALON,Awaloński Gulasz z Wołowiny
T8_MEAL_STEW_AVALON@1,Awaloński Gulasz z Wołowiny
T8_MEAL_STEW_AVALON@2,Awaloński Gulasz z Wołowiny
T8_MEAL_STEW_AVALON@3,Awaloński Gulasz z Wołowiny
T4_MEAL_SANDWICH,Kanapka z Koziną
T4_MEAL_SANDWICH@1,Kanapka z Koziną
T4_MEAL_SANDWICH@2,Kanapka z Koziną
T4_MEAL_SANDWICH@3,Kanapka z Koziną
T6_MEAL_SANDWICH,Kanapka z Baraniną
T6_MEAL_SANDWICH@1,Kanapka z Baraniną
T6_MEAL_SANDWICH@2,Kanapka z Baraniną
T6_MEAL_SANDWICH@3,Kanapka z Baraniną
T8_MEAL_SANDWICH,Kanapka z Wołowiną
T8_MEAL_SANDWICH@1,Kanapka z Wołowiną
T8_MEAL_SANDWICH@2,Kanapka z Wołowiną
T8_MEAL_SANDWICH@3,Kanapka z Wołowiną
T4_MEAL_SANDWICH_FISH,Kanapka z Salamandry Strumykowej
T4_MEAL_SANDWICH_FISH@1,Kanapka z Salamandry Strumykowej
T4_MEAL_SANDWICH_FISH@2,Kanapka z Salamandry Strumykowej
T4_MEAL_SANDWICH_FISH@3,Kanapka z Salamandry Strumykowej
T6_MEAL_SANDWICH_FISH,Kanapka z Salamandry Bystrej
T6_MEAL_SANDWICH_FISH@1,Kanapka z Salamandry Bystrej
